DAY_OF_WEEK,FL_DATE,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DEL15,ARR_DELAY_GROUP,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,1/12/2015,AA,247,12892,1289203,32575,"Los Angeles, CA",California,12758,1275803,32758,"Kona, HI",Hawaii,1710,1707,-3,0,-1,2106,2059,-7,0,-1,2504,,,,,
1,1/19/2015,AA,247,12892,1289203,32575,"Los Angeles, CA",California,12758,1275803,32758,"Kona, HI",Hawaii,1710,1704,-6,0,-1,2106,2044,-22,0,-2,2504,,,,,
1,1/26/2015,AA,247,12892,1289203,32575,"Los Angeles, CA",California,12758,1275803,32758,"Kona, HI",Hawaii,1710,1706,-4,0,-1,2106,2035,-31,0,-2,2504,,,,,
1,1/5/2015,AA,253,12892,1289203,32575,"Los Angeles, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,900,902,2,0,0,1255,1256,1,0,0,2486,,,,,
1,1/12/2015,AA,253,12892,1289203,32575,"Los Angeles, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,900,902,2,0,0,1256,1236,-20,0,-2,2486,,,,,
1,1/19/2015,AA,253,12892,1289203,32575,"Los Angeles, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,900,901,1,0,0,1256,1300,4,0,0,2486,,,,,
1,1/26/2015,AA,253,12892,1289203,32575,"Los Angeles, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,900,901,1,0,0,1256,1248,-8,0,-1,2486,,,,,
1,1/5/2015,AA,254,13830,1383002,33830,"Kahului, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1450,1455,5,0,0,2210,2207,-3,0,-1,2486,,,,,
1,1/12/2015,AA,254,13830,1383002,33830,"Kahului, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1426,1417,-9,0,-1,2132,2129,-3,0,-1,2486,,,,,
1,1/19/2015,AA,254,13830,1383002,33830,"Kahului, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1426,1421,-5,0,-1,2132,2118,-14,0,-1,2486,,,,,
1,1/26/2015,AA,254,13830,1383002,33830,"Kahului, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1426,1418,-8,0,-1,2132,2148,16,1,1,2486,0,0,16,0,0
1,1/5/2015,AS,801,14057,1405702,34057,"Portland, OR",Oregon,12982,1298202,32982,"Lihue, HI",Hawaii,1025,1025,0,0,0,1436,1446,10,0,0,2631,,,,,
1,1/5/2015,AS,802,12758,1275803,32758,"Kona, HI",Hawaii,14057,1405702,34057,"Portland, OR",Oregon,1250,1236,-14,0,-1,2035,1945,-50,0,-2,2607,,,,,
1,1/5/2015,AS,805,14893,1489302,33192,"Sacramento, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,1010,959,-11,0,-1,1350,1327,-23,0,-2,2404,,,,,
1,1/5/2015,AS,808,13830,1383002,33830,"Kahului, HI",Hawaii,10666,1066602,30666,"Bellingham, WA",Washington,1425,1501,36,1,2,2218,2219,1,0,0,2681,,,,,
1,1/5/2015,AS,809,14057,1405702,34057,"Portland, OR",Oregon,13830,1383002,33830,"Kahului, HI",Hawaii,1120,1119,-1,0,-1,1532,1528,-4,0,-1,2562,,,,,
1,1/5/2015,AS,812,13830,1383002,33830,"Kahului, HI",Hawaii,14831,1483103,32457,"San Jose, CA",California,1450,1446,-4,0,-1,2159,2118,-41,0,-2,2355,,,,,
1,1/5/2015,AS,815,14747,1474703,30559,"Seattle, WA",Washington,12982,1298202,32982,"Lihue, HI",Hawaii,1830,1827,-3,0,-1,2255,2301,6,0,0,2701,,,,,
1,1/5/2015,AS,816,12982,1298202,32982,"Lihue, HI",Hawaii,14747,1474703,30559,"Seattle, WA",Washington,2355,2352,-3,0,-1,740,657,-43,0,-2,2701,,,,,
1,1/5/2015,AS,817,13796,1379603,32457,"Oakland, CA",California,12758,1275803,32758,"Kona, HI",Hawaii,950,944,-6,0,-1,1324,1306,-18,0,-2,2378,,,,,
1,1/5/2015,AS,818,13830,1383002,33830,"Kahului, HI",Hawaii,14893,1489302,33192,"Sacramento, CA",California,1200,1149,-11,0,-1,1907,1858,-9,0,-1,2404,,,,,
