DAY_OF_WEEK,FL_DATE,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DEL15,ARR_DELAY_GROUP,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,12/22/2014,AA,267,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1845,1841,-4,0,-1,2250,2243,-7,0,-1,2556,,,,,
1,12/29/2014,AA,267,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1845,1858,13,0,0,2250,2246,-4,0,-1,2556,,,,,
1,12/1/2014,AA,270,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,825,1547,442,1,12,1555,2249,414,1,12,2556,414,0,0,0,0
1,12/8/2014,AA,270,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,825,825,0,0,0,1555,1602,7,0,0,2556,,,,,
1,12/15/2014,AA,270,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,825,819,-6,0,-1,1555,1536,-19,0,-2,2556,,,,,
1,12/22/2014,AA,270,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,825,859,34,1,2,1555,1625,30,1,2,2556,30,0,0,0,0
1,12/29/2014,AA,270,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,825,817,-8,0,-1,1555,1537,-18,0,-2,2556,,,,,
1,12/22/2014,AA,271,12892,1289203,32575,"Los Angeles, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,1105,1103,-2,0,-1,1457,1457,0,0,0,2486,,,,,
1,12/29/2014,AA,271,12892,1289203,32575,"Los Angeles, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,1105,1111,6,0,0,1457,1507,10,0,0,2486,,,,,
1,12/1/2014,AA,283,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1030,1030,0,0,0,1435,1507,32,1,2,2556,0,0,32,0,0
